"","titles"
"2793","Vixen 3720 36.4mm to 1.25"" adapter"
"2794","Pentax SMC XL 14"
"2795","Looking for 13 mm Ethos"
"2796","Vintage celestron 40mm volcano top Keller!"
"2797",".965 grab bag"
"2798","3 celestron eyepieces"
"2799","Pair of Bresser 26mm Super Plossls"
"2800","Tele Vue 2x Powermate 2-inch"
"2801","Complete 2"" Visual Kit: ES100, Lumicon, Pelican Case..."
"2802","**SALE** L-O-A 21mm 3D eyepieces"
"2803","BST 9mm Planetary EP"
"2804","Edmund 8mm RKE Eyepiece"
"2805","TeleVue 2""-1.25"" adapter"
"2806","WANTED: UNIVERSITY OPTICS MK-70 40MM KONIG"
"2807","Televue, Orion, Meade & Celestron Eyepieces"
"2808","WTB- ES 34 mm 68 degree eyepiece"
"2809","Meade 4000 20mm Super Plossl Smoothie *REDUCED*"
"2810","Wanted: ENVIS 1x objective lens for C-mounted PVS-7 Night Vision Goggles"
"2811","Televue 16 T5 Nagler Mint"
"2812","Edmund RKE 21.5mm"
"2813","Celestron 1.25 in eyepiece kit_94303_REDUCED"
"2814","17mm AND 26 mm  NAGLER"
"2815","Televue 18 mm"
"2816","8mm and 18mm Celestron X-Cel 1.25” w/ED glass"
"2817","Bino Pair of 1.25” x 10mm Celestron X-Cel w/ED glass"
"2818","Astrodon Gen2 LRGBHa 65mm Squaure filter E-Series"
"2819","Pentax XW 20mm EP Excellent!"
"2820","Tele Vue 2-4 mm eyepiece"
"2821","HOLIDAY SPECIAL - 1.25"" Sirius 40mm Plossl - Fully Coated"
"2822","EXPLORE SCIENTIFIC 18mm -------2""  / 82 degree EP"
"2823","Carl Zeiss 25mm APO eyepiece *PRECHRISTMAS LOW PRICE*"
"2824","Celestron Omni 32mm"
"2825","Celestron X-cel Lx 18mm"
"2826","Looking for Pentax SMC O-12 Eyepiece"
"2827","WTB 6mm Delos"
"2828","Pentax XW 10mm EP Excellent!"
"2829","Plossel eyepieces ** reduced price ** CONUS preferred"
"2830","All I Want for X-Mas Is a 1.25"" 25mm Unitron Eyepiece"
"2831","Leica ASPH 25-50X Zoom SET"
"2832","Vintage Celestron 25mm Ortho - Japan"
"2833","Nagler 22mm Type4"
"2834","Meade 24mm UWA 2"""
"2835","Orion Eyepieces 25mm & 10mm -- REDUCED!!"
"2836","25mm & 32mm Televue plossels"
"2837","Polarex eyepieces set of 3 Ortho 0.965"" eyepieces"
"2838","Unitron eyepieces set of 3 Ortho 0.965"" eyepieces"
"2839","Unitron Monochro. 40mm eyepiece 1.25"""
"2840","Polarex Monochro. 40mm eyepiece 1.25"""
"2841","Tele Vue Nagler 3mm-6mm zoom"
"2842","Meade 5000 SWA 24mm 68 Degree EP In Box"
"2843","package deal"
"2844","Televue Nagler 4.8mm"
"2845","Televue Nagler 9mm 2-inch barrel"
"2846","MEADE 30MM 2"" UWA SERIES 5000"
"2847","Various Orion/Celestron Eyepieces - 10.00 each shipped in USA"
"2848","Orion Expanse Eyepiece Set  <U+2606>REDUCED<U+2606>"
"2849","Tele Vue Ethos 21mm"
"2850","3 vintage .965 eyepieces"
"2851","Tele Vue 22mm Nagler Type 4 Eye Piece"
"2852","WTB: Micro Guide Eyepiece"
"2853","1.25"" Brass eyepiece"
"2854","Meade 5000 24mm UWA 2"" eyepiece"
"2855","2"" Tele Vue 40mm Wide Field Smoothie - JAPAN - Circle NJ"
"2856","Meade 40 mm SWA"
"2857","Celestron Deluxe 6.5-18mm Zoom (Japan)"
"2858","Meade Super Plossl 32mm (Japan) 5 Element Eyepiece"
"2859","Lot of Japanese 0.965"" eyepieces"
"2860","Wanted - University Optics 12mm KONIG Eyepiece"
"2861","Televue Paracorr Newer Type 1 With Tunable Top"
"2862","Takahashi NP-12 eyepiece"
"2863","Plossls 15 20 32"
"2864","TAK LE 12.5"
"2865","Televue Delos 10mm"
"2866","WANTED Sirius Mars 2003 filter"
"2867","Takahashi LE 5mm"
"2868","2"" 35mm Erfle w/military optics"
"2869","Tele Vue 3.5 Nagler Type 6 Eyepiece"
"2870","Astro-Physics SPL060 6mm Super Planetary"
"2871","Celestron 25mm & Highpoint 15mm Plossls"
"2872","Tele Vue Ethos 6mm"
"2873","Takahashi camera adapter TS-001"
"2874","Explore Scientific 14mm 100 Degree Series Eyepiece"
"2875","Celestron Ultima 30mm - very nice"
"2876","Tele Vue 13mm Ethos eyepiece — SOLD!,"
"2877","2 to 1.25 adapter w/T-thread"
"2878","Astro Optical HE-Or 4mm GES Illuminated X-hair ep"
"2879","Vixen GA-4 Illuminated Guiding Diagonal"
"2880","Takahashi camera adapter (TS-001) Reduced"
"2881","Two vintage .965 EP's"
"2882","LIKE NEW Nagler 26mm Type 5 with caps, bolt case"
"2883","Celestron lighted reticle Ortho EP"
"2884","Meade Super Plossl Set"
"2885","Siebert 19mm ultrawide Bino-pair"
"2886","GSO 50mm SuperView 2 inch"
"2887","Intes Micro eyepieces"
"2888","Vixen 1.25"" Erect Image adapter (Reduced)"
"2889","Mizar porro prism (erect image) (Reduced)"
"2890","Wanted 8.8mm E/S or Meade"
"2891","Televue Ethos 21mm Mint!"
"2892","Televue Nagler 9mm Type 6[Free Shipping]"
"2893","1.25"" Celestron Eyepiece Kit -- Price Reduced!"
"2894","Televue 15mm Plossl"
"2895","Televue Nagler 31mm eyepiece"
"2896","Unbranded 20mm Plossl Eye Piece"
"2897","Meade 12mm MA Astrometric Eyepiece"
"2898","Meade UWA 8.8mm eyepiece"
"2899","Televue Ethos 13mm"
"2900","New Orion Plossl 10mm"
"2901","Volcano Kellner 1.25"" EP Set - 3x - 40mm/25mm/12mm"
"2902","Orion Highlight Plossl Set - 26/17/10/7.5 - $80 Shipped"
"2903","Tak 3.6mm Hi-LE"
"2904","12mm Astrotech/agena dual guider"
"2905","3x Celestron Halloween Plossl Set - 26mm, 20mm, 17mm"
"2906","Orion 12mm K Illuminated EP w/Rigel PulseGuide"
"2907","ES 14mm 100° or Ethos 13mm Televue"
"2908","Nagler 3 to 6 Zoom"
"2909","Modified Meade 56mm Super Plossl"
"2910","Televue 4mm Radian"
"2911","Televue Circle NJ Plossls 7.4mm, 13mm, and 1.8x Barlow"
"2912","Lunt Zoom eyepeice"
"2913","Televue Paracorr 2 BNIB!"
"2914","Nice 25mm 55+ degree eyepiece with adjustable relief"
"2915","Dustcaps for .965 eyepieces & accessories."
"2916","Televue Circle NJ 40mm Plossl $35"
"2917","Baader Laser Colli (1st Gen)"
"2918","University Optics Orthos"
"2919","GSO 15 mm plossl eyepiece 1.25 inch barrel"
"2920","Meade 1.25 inch Super Plossl eyepieces"
"2921","Celestron 1.25 inch Plossl eyepieces"
"2922","Naglers - 16mm, 11mm, 9mm, 2.5mm - all nice"
"2923","Leica 25-50x ASPH Zoom Eyepiece with 1.25""/2"" adapter"
"2924","1.25"" University 16mm Konig - JAPAN Circle T"
"2925","Explore Scientific 14mm 82 degree eyepiece"
"2926","TV 22MM panoptic"
"2927","Carl Zeiss 0-16 Orthoscopic Eyepiece"
"2928","William Optics UWAN 28mm"
"2929","1.25"" Terrestrial Viewing Porroprism"
"2930","Meade Research Grade 20mm WA - BOX ONLY"
"2931","Meade 14mm UWA"
"2932","Wanted: Explore Scientific 40mm"
"2933","UO Konig Set - 24mm, 16mm, 12mm"
"2934","9 mm & 25 mm Plossl - 1.25"" Astrola"
"2935","Celestron 2x's Barlow (1 1/4)"
"2936","High Point 20mm SuperView EP"
"2937","[Reduced] Denkmeier L-O-A 3D 21mm eyepieces pair"
"2938","25mm and 10mm plossl eyepieces"
"2939","Orion Expanse Clone - 15mm 66 degree AFOV"
"2940","Meade 4000 Series 1st. Gen. Japan Ultra Wide Angle 6.7mm."
"2941","Meade 4000 Series 1st Gen. Japan Super Plossl 20mm.( Pending )"
"2942","Russell 65mm Super-Plossl XL $40"
"2943","8mm Agena StarGuider ED(Like New)"
"2944","1.25"" 15.5mm Kellner Eyepiece (NEW)"
"2945","38-42mm wide eyepiece (Orion Q70, Agena SWA, etc.)"
"2946","Televue 12mm Nagler type 4 $235 shipped"
"2947","Edmund RKE EP - 8mm - ALL SOLD"
"2948","Edmund Scientific 21.5mm RKE"
"2949","Pentax XW 20"
"2950","WANTED: Televue Dioptrx .75"
"2951",".965"" 9mm Konig DLX WA Focusing Eyepiece 55 Deg AFOV"
"2952","Smart Astronomy Sterling Plossl Sets"
"2953","Televue Paracorr Type 1 Visual PVL-2008"
"2954","ES 28MM 68* Series"
"2955","Televue Nagler 31mm Type 5"
"2956","Skyrover 35mm ED eps 68 degree(TS Paragon)"
"2957","TeleVue circle-NJ Plossls excellent"
"2958","Meade eyepieces : 40, 32, 26, 20, 15, 12.4, 9.7 & 6.4 mm Super Plossl"
"2959","Celestron 45mm Silvertop - Japan"
"2960","Celestron Luminos 7mm 82 Degree Eyepiece"
"2961","Celestron Luminos 10 mm 82 Degree Eyepiece"
"2962","Celestron Luminos 23mm 82 Degree Eyepiece"
"2963","Price reduced- TS XWA 5mm 110 degree eyepiece"
"2964","Meade 20mm super Plossl"
"2965","Meade Series 5000 6.7 mm Ultra Wide 82* eyepiece"
"2966","TeleVue 15mm Wide Field"
"2967","6 Explore Scientific 68-82° Eyepieces"
"2968","Pentax XL 14 mm eyepiece"
"2969","Televue Radian 5 mm eyepiece"
"2970","Emund 28.7 mm RKE"
"2971","Takahashi 4mm Hi-Ortho"
"2972","Orion 2"" 28mm MegaView (AKA William Optics UWAN)"
"2973","For sale - Vintage Brandon Eyepiece and Barlow Set"
"2974","Edmund RKE 28mm"
"2975","U.O. 25mm or 18mm ortho volcano top with green lettering"
"2976","PENTAX SMC O-18 Ortho 18mm Eyepiece pair---Reduced"
"2977","UO 1.25"" 12mm Kellner Eyepiece - Circle A - Japan"
"2978","Orion 1.25"" eyepiece, barlow, and moon filter very clean"
"2979","Questar Eyepiece needed"
"2980","Orion DeepView multi coated 28mm 2"" widefield eyepiece"
"2981","Pentax IR-E6 6mm Illuminated Reticle Eyepiece"
"2982","Grab-N-Go Eyepiece Case Inlaid with Orion"
"2983","Meade 2"" 24mm UWA 82 deg EP with bolt case"
"2984","Orion DeepView 28 mm 2"" EP"
"2985","Future Optics 12.5mm illuminated reticle eyepiece"
"2986","Orion 28mm DeepView"
"2987","Zhumell Eyepiece Kit"
"2988","TAL 24mm UWA 80-degree 2"" Eyepiece--Made in Russia"
"2989","Pentax 20mm XW"
"2990","Agena SWA 26mm 70° 2”"
"2991","Agena SWA 32mm 70° 2”"
"2992","Televue 2” 32 mm Widefield Eyepiece"
"2993","Televue 2” 55 mm Plossl Eyepiece"
"2994","TeleVue Ethos 13mm"
"2995","Celestron 26mm 1.25-inch Plossl Eyepiece"
"2996","University Optics 16mm Konig-ll"
"2997","Tele Vue 26mm Nagler Type 5"
"2998","Pentax XW 10mm Eyepiece - Barrel Ding"
"2999","Celestron Omni 15mm 1.25"" Eyepiece"
"3000","25mm .965"" Ortho Circle T - New in Box"
"3001","Catseye 2"" Infinity XLKP 2 Pupil Autocollimator"
"3002","Meade 4000 Series 1st. Gen. Japan Super Wide Angle 13.8mm."
"3003","Meade 4000 Series Super Plossl Japan 1st Gen. 15mm.- Mint!"
"3004","Pentax XW 5mm [ Free Shipping]"
"3005","Meade 1.25"" Vintage Research Grade 20mm WA Eyepiece"
"3006","GSO SV 50mm"
"3007","Near Mint University Optics ""Zebra Stripe"" 2.8X Klee Barlow Lens"
"3008","Cheap Meade MA eypieces and HEQ5 Mount (mount sold)"
"3009","Russell Optics 19mm Super-wide Konig, 2-inch"
"3010","Celestron 1.25 eyepiece and filter set #94303"
"3011","Celestron 93230 1.25 8 to 24mm Zoom Eyepiece"
"3012","William Optic 2"" Eye Pieces Swan 25mm and 33mm"
"3013","Vixen .965"" Diagonal & Visual Back & K20mm Vixen Eyepiece"
"3014","Illuminated Reticle Eyepiece - 1.25"" Rigel Pulseguide with 12.5mm"
"3015","9mm 66-degree Ultra-Wide Eyepiece (Orion Expanse clone)"
"3016","Vixen 22mm LVW"
"3017","Explore Scientific 20mm 100 degree"
"3018","CELESTRON 10mm Halloween Plossl"
"3019","CELESTRON Ultima SV 2X Barlow w/ Box"
"3020","Orion 5123 1.25-Inch Telescope Eyepiece Extension"
"3021","Pentax 10mm XW"
"3022","Agena Starguider Dual ED 8mm"
"3023","Televue 40mm Plossl"
"3024","Orion/Vixen LVW 13mm/17mm/22mm"
"3025","Explore Scientific 34mm Like New"
"3026","0.965"" to 1.25"" Adapter"
"3027","University Optics 1.25"" 12mm Konig Eyepiece - Made in Japan"
"3028","Need 1.25"" Unitron 25mm Eyepiece"
"3029","Astrozap Dew Shield for Celestron Nexstar 8 SE"
"3030","Orion Stratus 17mm 1.25/2"" Eyepiece"
"3031","Televue Delos Eyepiece 17.3 mm"
"3032","Explore Scientific 68° 24mm"
"3033","Agenaastro eyepieces +moon filter"
"3034","T.V. Nagler 16mm type 5"
"3035","Unitron & Polarex 1950’s 4mm .965” Gold Lettering 1 ea."
"3036","Explore Scientific 4.7 mm"
"3037","Televue 10mm Delos"
"3038","Circle-T 18mm 1.25"" Ortho Eyepiece - Made in Japan"
"3039","Explore Scientific 1.25"" 2x Focal Extender"
"3040","Meade 1.25"" 82-degree 14mm Waterproof Eyepiece"
"3041","B&L / Criterion A.S.P. 30mm 1.25"" Eyepiece"
"3042","Orion Q70 38mm 26mm"
"3043","Edscorp 12.5mm VT Ortho"
"3044","Sky-Watcher LET 2"" 35mm Eyepiece"
"3045","Russell Optics 2” 16.8mm Super-Wide Konig"
"3046","Meade Series 5000 5-element 2"" 32mm Plossl"
"3047","25mm Plossl ready for Outreach"
"3048","Agena Enhanced Wide Angle EWA 20mm Eyepiece !!!"
"3049","WANTED 40 mm TeleVue 1 1/4 Plossl - any model"
"3050","Hyperion 17mm Modular Eyepiece"
"3051","40mm Televue Plossls"
"3052","32mm Flat Top Brandon Vernonscope 1.25"" Eyepieces"
"3053","Meade 4000 Super Plossl LP 26mm Japan. Free ship"
"3054","TV Nagler 20mm Type 5"
"3055","2"" Televue Paracorr, original version, non adjustable top"
"3056","Eyepiece collectors: Meade 32mm SWA 2"" BNIB"
"3057","Eyepieces galore"
"3058","Explore Scientific 2"" 100° Nitrogen-Purged Waterproof Eyepiece - 20mm"
"3059","Clave 25 MM Plossl"
"3060","WANTED!!!  Questar 24mm Brandon Eyepiece"
"3061","Wanted -- Baader Hyperion Universal Zoom Mark III or IV"
"3062","Meade series 4000 8.8MM UWA EYEPIECE Wanted"
"3063","ONE SOLD - Bausch & Lomb 30mm ASP Eyepieces - $30 ea Shipped"
"3064","Volcano Top Celestron 40mm 1.25"" Kellner Eyepiece"
"3065","Televue Radian 8 mm eyepiece"
"3066","Televue Radian 10 mm eyepiece"
"3067","Televue Nagler 16mm type 5 eyepiece"
"3068","Unitron eyepiece box, orthos, and astro camera tubes"
"3069","Televue Nagler 7mm Type 6"
"3070","WANTED - Nagler 13mm type 6"
"3071","Vixen SLV 6mm & 15mm"
"3072","Meade Series 4000 Eyepiece + Filter Set W/Case"
"3073","Like new Meade MWA 1.25” 10mm eyepiece"
"3074","William Optics XWA 20mm eyepiece"
"3075","Ethos 13mm (Free Insured Shipping)"
"3076","ES 18mm 2"" 82 Degree w/ Box and Caps Eyepiece"
"3077","1.25"" Astromania 9mm and 6mm Planetary EPs"
"3078","ES 20mm 100"
"3079","32mm E.F.L. 2 inch Vernonscope Eyepiece - $110 Shipped"
"3080","TeleVue 40mm Widefield 2 inch Eyepiece - $125 Shipped"
"3081","Binocular Eyepieces"
"3082","Celestron Axiom 31 mm 82* FOV"
"3083","APM 15mm UFF Pair - $195 Shipped"
"3084","Vintage Celestron 26mm Eyepiece (Japan Made)"
"3085","Orion 7.2-21.5mm Zoom"
"3086","Two Meade 13.7mm WA MC 1.25"" eyepieces"
"3087",".965 to 1.25 eyepiece adapter"
"3088","10mm Ethos excellent condition w/ box & caps"
"3089","Orion 26mm Highlight Plossl Eyepiece"
"3090","Tele Vue Plossl EP's 8 & 11 MM"
"3091","Televue 19mm Wide Field eyepiece 1.25"""
"3092","24mm Televue Wide Field 1.25"" eyepiece - Lower Price!"
"3093","WANTED ! PENTAX XW30mm EP in perfect condition"
"3094","TMB 7mm Planetary + 2x Deluxe Barlow"
"3095","TeleVue 4mm Radian - Reduced"
"3096","EDSCORP 18mm Ortho"
"3097","Meade Telescope MA12mm ILLUMINATED RETICLE EYEPIECE - Made in Japan, NICE!"
"3098","REDUCED.  10mm Celestron Luminos 1.25""   82*fov"
"3099","Meade JAPAN 15mm Super Plossl"
"3100","Orion 20mm Highlight Plossl 08916"
"3101","Like new Meade MWA 2” 15mm eyepiece"
"3102","Vortex Razor HD 20-60x Zoom Eyepiece For Spotting Scope"
"3103","Ortho 1.25"" eyepiece"
"3104","Coronado CEMAX Eyepiece Set"
"3105","Astro-Tech Paradigm 8mm"
"3106","Astro-Tech Paradigm 12mm"
"3107","Televue 2” 27 mm Panoptic Eyepiece"
"3108","Televue 1.25” 24 mm Panoptic Eyepiece"
"3109","Explore Scientific 82° 30mm Eyepiece"
"3110","Pair of Nikon 15x-45x zoom eyepieces"
"3111","Tele Vue 17 mm Plossl"
"3112","Questar Brandon 24mm Eyepiece"
"3113","Orion 25mm Ultrascopic"
"3114","Vintage UO 12.5 mm Circle A VT Ortho"
"3115","Looking for Explore Scientific 82 8.8mm"
"3116","Kellner Eyepieces"
"3117","Brandon Orthos and Dankin Barlow Eyepieces"
"3118","Edmund scientific 32mm EFL 2"" Erfle eyepiece"
"3119","Baader Hyperion Zoom Mark III"
"3120","Brandon 48mm eyepiece"
"3121","Celestron 40mm Plossl Eyepiece (1.25"") (Sale or Trade)"
"3122","30mm ES82 Eyepiece"
"3123","Budget 2"" Eyepieces, Good Stater Set"
"3124","Pentax 2.5mm XO Eyepiece"
"3125","Denkemier D21 Eyepiece pair"
"3126","Tele Vue 9mm Nagler Type 6 - 9T6"
"3127","Celestron Micro Guide 12.5mm Illuminated 1.25"""
"3128","Vintage 1.25"" Spotting Scope Eyepieces"
"3129","Two 1.25"" Barlows"
"3130","Volcano Top Celestron 1.25"" Eyepieces For Sale"
"3131","1.25"" Eyepiece Collection"
"3132","Volcano Top Circle T 1.25 Ortho Eyepieces For Sale"
"3133","Classic Brandon Orthoscopic Eyepieces"
"3134","Meade Series 5000 24mm SWA eyepiece"
"3135","Tectron Autocollimator"
"3136","Orion Ultrascopic 7.5mm"
"3137","Televue 16mm Nagler T5"
"3138","Televue 16mm Nagler T5 (1 of 2)"
"3139","Vintage Circle T 20MM Erfle. Japan."
"3140","30mm ES 82"
"3141","Complete Ethos Set"
"3142",".965 Accessories"
"3143",".965"" Eyepieces and Moon Filters"
"3144","Bausch and Lomb Criterion ASP 18 1.25"" eyepiece"
"3145","Baisch and Lomb Criterion ASP 30 1.25"" Eyepiece"
"3146","Seeking 1.25"" FULLERSCOPES Eyepieces"
"3147","Ethos 21mm & Ethos 10mm"
"3148","LUNT SOLAR 7.2MM - 21.5MM ZOOM EYEPIECE - 1.25"""
"3149","Meade plossls  32mm, 15mm (Japan), 9.7mm"
"3150","Agena StarGuider ED 25mm Eyepiece !!!"
"3151","32mm TeleVue Plossl"
"3152","25mm Super Plossl"
"3153","PENTAX 5mm XW eyepiece - $245"
"3154","Baader ortho, genuine or classic."
"3155","Tele Vue 32mm Plossl JAPAN"
"3156","Televue 6mm Ethos"
"3157","Televue 10mm Ethos"
"3158","Televue 17mm Ethos"
"3159","Meade Series 5000 SWA Eyepiece 20mm"
"3160","Celestron X-Cel LX 25mm/12mm"
"3161","Parks Optical Gold Series 15mm Plossl 1.25 inches"
"3162","Nagler T6 9mm"
"3163","Celestron 26mm Plossl Silver Top - REDUCED"
"3164","Tele Vue 40mm Wide Field 2"" EP - REDUCED"
"3165","Tele Vue Nagler 9mm Smoothie"
"3166","Celestron E-Lux 26mm, 32mm, 40mm and 2x Barlow"
"3167","Vintage Criterion AR 9mm Ocular SOLD"
"3168","SOLD- Set Televue NJ plossls"
"3169","Celestron Eyepiece & Filter set w/Aluminum case"
"3170","Orion Highlight Plossls"
"3171","T.V. Delos 6mm"
"3172","Agena Dual ED 3.2mm eyepiece"
"3173","Parks Plossls - 20mm Pair"
"3174","TV Plossls - 13mm & 17mm"
"3175","Nikon NAV-SW 14mm"
"3176","Vixen SLV - 4mm & 10mm"
"3177","ES82 - 4.7mm & 6.7mm"
"3178","Eye pieces: Celestron 25mm Plossl, Meade MA 12mm, Meade 3X Telenegative Barlow"
"3179","Televue 20 mm Plossl"
"3180","Questar eyepiece adapter"
"3181","Televue Nagler T6 2.5mm Eyepiece"
"3182","Astro-Tech Paradigm 18mm"
"3183","NIB Starlight Instruments SIPS  $425"
"3184","Meade Adjustable Crosshair Ep With Pulser Illumination"
"3185","Celestron 25MM 1.25"" Plossl (REDUCED)"
"3186","Celestron E-Lux 25MM 1.25"" Plossl (REDUCED)"
"3187","Questar 24mm Brandon Wanted"
"3188","Looking for ES 82 30mm"
"3189","Celestron Eyepiece kit - Taiwan (New)"
"3190","21mm Celestron Ultima Duo 1.25"" and 2"""
"3191","2"" GSO 50mm Superview eyepiece"
"3192","Meade Series 5000 1.25"" HD-60 Eyepiece Set w/ Case"
"3193","Televue 2” 21 mm Ethos Eyepiece"
"3194","Televue 2” 20 mm Nagler type 5 Eyepiece"
"3195","Meade 4000 6.7mm UWA Smoothie **REDUCED**"
"3196","Sirius Plossl 40mm"
"3197","Televue 24mm Panoptic, Pristine"
"3198","Meade DSI II Color Imager"
"3199","Televue Plossls 8mm & 25mm. * Wanted *"
"3200","24mm Questar Brandon Occular"
"3201","Grab-N-Go Eyepiece Case Inlaid with the Pleiades on Mahogany"
"3202","Zhumell 9mm Plossl"
"3203","Orion Deepview 35 mm 2"" NIB"
"3204","Vixen SSW 10mm 83° Eyepiece PRICE REDUCED"
"3205","Explore Scientific 8.8mm 82° Waterproof Eyepiece"
"3206","Baader Planetarium Hyperion-Aspheric 36mm Eyepiece"
"3207","TeleVue 3-6Nagler zoom"
"3208","University Optics 20mm Erfle"
"3209","Televue 21mm Ethos"
"3210","Takahashi UW 5.7 Eyepiece"
"3211","Tele Vue Delos 12 mm"
"3212","Celestron Omni 32mm Eyepiece pair"
"3213","TeleVue BIG 2X Barlow  BWC-2200"
"3214","7mm Meade Research Grade Eyepiece circa 1977/80"
"3215","Pentax XW 10mm"
"3216","Televue Nagler 26mm Type 5"
"3217","Televue Nagler 22mm T4"
"3218","Explore Scientific 34mm 68degree"
"3219","University Optics Ortho Volcano Top, Green Lettering Eyepieces"
"3220","Vintage volcano top eyepieces"
"3221","Televue Nagler 17mm Type 4"
"3222","Scopetronix Maxview 40mm"
"3223","es 30mm 100degree eyepiece & 3inch diagonal"
"3224","Pentax XW 7mm"
"3225","Two nice higher power wide angle 2in Russell Konigs."
"3226","Ethos 13mm Mint"
"3227","17 Ethos LNIB"
"3228","Orion Sirius 40mm Plossl"
"3229","Televue Nagler 17mm Type 4"
"3230","Pentax 1.25 SMC XF-8.5 Eyepiece"
"3231","Criterion ASPs"
"3232","Vixen 15MM NPL Plossl Eyepiece set VX-3925"
"3233","Very Good High Point SWA 15mm"
"3234","Pentax XW 5, 3.5mm Eyepieces"
"3235","Explore Scientific 5.5mm, 100 degree Eyepiece"
"3236","Explore Scientific 20mm, 100 degree Eyepiece"
"3237","Celestron Luminos 15mm"
"3238","Meade 24mm Ultra Wide 2"" eyepiece series 5000"
"3239","plossls for sale"
"3240","Edmund RKE 8mm EP In Box w/Instructions"
"3241","Antares Speers-Waler SW 5-8mm Zoom EP"
"3242","TMB 9mm Planetary"
"3243","Tele Vue Delos 8 mm"
"3244","Meade 40 mm Plossl Smoothie"
"3245","Agena Astro 3.2mm 1 1/4"" Eyepiece - New"
"3246","Williams Optics SWAN 40mm 2"" 70 Deg"
"3247","Explore Scientific 82° 8.8 mm 1.25"""
"3248","REDUCED.  10mm Celestron Luminos 1.25"""
"3249","3.8 mm Orion ultrascopic eyepiece.  Japan. sharp views"
"3250","Set of 4 Celestron eyepieces in case"
"3251","2"" 1.6x Antares Barlow, 16.8mm Orion Megavista"
"3252","Lower $:  MEADE SERIES 4000 14mm UWA (2” / 1.25"") – Excellent!"
"3253","9mm Orion Expanse and 6mm Expanse clone, set"
"3254","Orion Sirius Plossl 26mm"
"3255","Vintage Celestron Volcano Top 7mm Orthoscopic Eyepiece in Box"
"3256","Televue Nagler Type 1 9mm Very Good Condition with Original Caps"
"3257","14mm Pentax XL"
"3258","4.5mm Delos"
"3259","William Optics Swan 40mm"
"3260","William Optics Swan 20mm"
"3261","William Optics Swan 25mm"
"3262","William Optics Swan 33mm"
"3263","SOLD - Televue Delite Eyepiece - 9mm - $190 Shipped"
"3264","Televue, Tele Vue Plossl 8mm and 11mm"
"3265","Televue 26mm ""smoothie"" plossl"
"3266","TeleVue 20mm T5 and Radian 12mm both CLEAN!"
"3267","10mm Speers-Waler Ocular (1st or 2nd gen)"
"3268","Nagler 22mm type4"
"3269","TeleVue Panoptic 19mm"
"3270","Various Nice Eyepieces"
"3271","EXPLORE SCIENTIFIC 5.5mm 100deg eyepiece"
"3272","Meade 4000 4.7mm UWA Smoothie **REDUCED**"
"3273","Meade 4000 6.4mm Super Plossl ""Smoothie"" **REDUCED**"
"3274","TRADE Your 32mm Tele Vue Plossl for My 40mm"
"3275","Meade eyepiece set with case & erect vision"
"3276","10mm TeleVue Delos"
"3277","40mm Televue Plossl"
"3278","Vintage Eyepieces"
"3279","Orion / Vixen Superwide (Japan) 5mm Lanthanum"
"3280","8-24mm Zoom Eyepiece"
"3281","9.7mm Meade Series 4000 Super Plossl 1.25"" Japan"
"3282","15mm Meade Series 4000 Super Plossl 1.25"" Japan"
"3283","TeleVue Nagler 12mm Type 4 Complete"
"3284","TeleVue Nagler 7mm Type 6 Japan"
"3285","vintage .965 EP's"
"3286","42mm Orion DeepView 2""eyepiece"
"3287","Looking to trade my 3.5mm Orion Stratus EP for the 5mm version...."
"3288","Celestron Ultima-LX 5mm & 8mm"
"3289","TeleVue 55mm Plossl"
"3290","10Delos, 15Luminos, 18UFF Eyepieces"
"3291","Celestron omni 4mm"
"3292","35mm Panoptic Wanted"
"3293","REDUCED! Meade  8.8mm UWA (MADE IN JAPAN !! ) 90.00"
"3294","Meade Plossl 5000 26mm"
"3295","Meade Plossl 5000 14mm"
"3296","Meade Plossl 5000 9mm"
"3297","Meade Plossl 5000 5.5mm"
"3298","21mm Ethos"
"3299","18.2mm Delite"
"3300","Meade 6.7mm Ultra Wide Eyepiece Series 5000"
"3301","6mm .965"" Ortho Diamond Z Japan"
"3302","ScopeTronix 18mm WA, TeleVue 2.5X, Celestron 40mm Plossl"
"3303","Circle-T volcano-top 12.5mm orthoscopic"
"3304","WTB: Nagler 13mm T6"
"3305","6mm Zhumell Z-Planetary"
"3306","Rare Masuyama 15mm eyepiece"
"3307","2 inch 52 mm military surplus erfle.  Huge eye relief"
"3308","2 inch University optics 32mm erfle.  60 degrees.  Nice view"
"3309","Meade Series 3000 40mm Super Plossl"
"3310","UPDATED - Orion 12.5mm Illuminated Reticle Plossl Telescope Eyepiece"
"3311","Explore Scientific 82° Series 8.8mm Eyepiece"
"3312","Orion 12.5mm Illuminated Reticle Plossl Telescope Eyepiece"
"3313","Meade 18mm Ultra Wide Eyepiece Series 5000"
"3314","Meade 24mm Ultra Wide 2"" eyepiece series 5000"
"3315","Meade 30mm Ultra Wide Angle 2"" Eyepiece series 5000"
"3316","Carl Zeiss Jena 0-16 Orthoscopic Eyepiece"
"3317","TeleVue 20mm nagler type 5"
"3318","Vixen 1.25"" LVW Lanthanum Wide Eyepiece - 22mm"
"3319","25mm Super Plossl Pair"
"3320","Celestron ultima 35mm eyepiece"
